,NAME,CHANNEL_ID
0,chada_tv,407
1,rotana_cinema,991
2,Franceinfo,567
3,cheddar,557
4,TF1 4K,331
5,Nollywood Epic,431
6,TCM Cinéma,1481
7,mango-action,595
8,mango-drolesdedames,413
9,Dorcel XXX,205
10,shadowz,785
11,OCS Max,855
12,OCS Pulp,1163
13,echorouknews,289
14,lechasseurfrancais,353
15,autoplus,319
16,mango-alshana,611
17,tvt,1535
18,mango-mediawan,1607
19,Africanews,1361
20,Mezzo,341
21,mango-ampersandfiction,587
22,maisonettravaux,603
23,docubox,287
24,Ciné+ Club,1311
25,euronews_ci,1525
26,helwa,317
27,RTS 1 Sénégal,255
28,Paramount Channel Décalé,1029
29,tango-test-avod,1495
30,canal2international_ci,831
31,mbc_drama_plus,713
32,Comedy Central,645
33,Téva,259
34,Game One,1357
35,gametoon,179
36,AB 1,279
37,cgtnfr,767
38,Test VOD,869
39,savannahtv,227
40,L'Equipe,213
41,elbilad,1459
42,mango-mk2,1483
43,mango-caracol,585
44,ab1_ma,1471
45,mango-fip,133
46,Halloween by MANGO,743
47,mango-mylove,651
48,Public Sénat 24/24,929
49,ES1,1579
50,lelive,1241
51,test2,257
52,testuhd2,947
53,theexplorers,127
54,mango-homicide,201
55,Sen TV,121
56,mango-dynamic,513
57,action_ma,191
58,France 24 spanish,117
59,Sport en France,675
60,CNN,1581
61,BFM Lyon Métropole,1503
62,testvideo3,1465
63,Nickelodeon Junior,159
64,Ciné+ Famiz,141
65,alamaison,301
66,BFM Marseille,1353
67,bblackclassic_ci,237
68,mango-Millimages,1479
69,mango-media-valley,429
70,mango-wildsidetv,1475
71,Mango Docs,1605
72,School Mouv,1249
73,mango-enquete,727
74,mbc3_ma,1289
75,mango-mydigitalcompany,1519
76,"Un gars, une fille by MANGO",953
77,brut,299
78,Mezzo Live HD,583
79,mango-red_arrow,959
80,rti1_ci,183
81,france_24_arabic_ma,693
82,mango-sony,1631
83,France 24,347
84,gourmand_tv_ci,1317
85,luxetv4k,253
86,mango-zdf,861
87,vincicup02,1151
88,mango-mediatoon,1377
89,13eme RUE,1611
90,2M Monde,379
91,samiratv,503
92,TRACE Sport Stars,1545
93,i24newsen,553
94,bblackafrica_ci,1455
95,toute_lhistoire_ma,1609
96,rtfrance,1591
97,mango-zed,891
98,mango-live-asset,1451
99,La Chaîne parlementaire,1379
100,mango-logicomix,607
101,rtg,1245
102,MyTF1,1537
103,M6 Music,729
104,mango-lionsgate,511
105,mbc1,715
106,W9,1411
107,ortm,203
108,Ciné+ Emotion,1363
109,nollywoodreplay,753
110,gourmand_tv,1541
111,I24news,1303
112,TIJI,1251
113,BFM Grand Littoral,245
114,BSmart,797
115,mango-universal-music,1533
116,tv5mondeafrique_ci,1243
117,nci,1551
118,mango_novelas,681
119,figarolive,1309
120,MTV,119
121,CSTAR,1527
122,cgtnfr_ci,335
123,Mango Kids,1091
124,sunuyeufreplay,307
125,tour-de-france_corner,1563
126,test-rg-ftv,1409
127,mango-zylo,1507
128,Echorouk TV HD,1231
129,gemtv_ci,1339
130,Trace Caribbean,1439
131,Toonami,129
132,M6,907
133,mango-starsky,853
134,France 2 UP,1585
135,Crime District,261
136,vincicup01,1557
137,starz,669
138,NRJ 12,1447
139,Mango Sport,405
140,ina,181
141,skynewsarabia,1467
142,museumtv_ci,1577
143,Trace Latina,1259
144,ducktv_ci,781
145,mango-culture-pub,325
146,fubo_sports_network,783
147,mango-filmrise,1011
148,filmbox,1301
149,Gong,1511
150,BFM Nice Côte d'Azur,1531
151,OCS Géants,329
152,wildsidetv,1143
153,Automoto,745
154,chada_tv_ma,1493
155,mango-aci,769
156,Science & Vie TV,733
157,OCS City,775
158,RMC Sport 3,897
159,BFM Dici Alpes du Sud,779
160,BFM Business,791
161,Disney Channel +1,1573
162,mango-program-store,1513
163,BFM Grand Lille,613
164,testuhd1,893
165,BFM Normandie,627
166,ninatv,709
167,france24-afrique-,1633
168,mbc5_ma,1497
169,Golf Channel,945
170,ORTB,1543
171,mango-cineflix,735
172,mango-baywatch,1331
173,KTO,223
174,Trek,677
175,alaraby,291
176,Animaux,1555
177,rts2_ci,389
178,Mango Cinema,345
179,mango-lesfilmsdelespoir,649
180,mango-cbs,1435
181,mango-events-free,1215
182,CGTN,385
183,tv_paese,847
184,Vixen TV,387
185,RTS 1,1315
186,crtv,1433
187,laayoune_ma,1001
188,mango-familyfilms,403
189,BET,865
190,traceplus-gametoon,249
191,TvBreizh,579
192,LCI - La Chaîne Info,1247
193,Disney Channel,875
194,France 5,161
195,canal2international,1441
196,Duck TV,1305
197,winamax,1261
198,Ushuaïa TV,609
199,reunion-1-uhd,705
200,francetvnumerique,1219
201,rotana_clip_ci,305
202,Chérie 25,215
203,cherifla,235
204,wax_drama_ci,145
205,rti2_ci,265
206,gabontv,1445
207,m24news,899
208,Trace Urban,153
209,i24newsar,1273
210,Spicee,1485
211,autoplus_ci,1393
212,Campagnes TV,1051
213,mango-sonar,283
214,mango-palatin,273
215,France 4,271
216,mango-underthemilkyway,135
217,TV Pitchoun,1355
218,RTB,717
219,mango,1477
220,AdultSwim,199
221,alresalah,1523
222,Nollywood TV,849
223,rotana_classic_ci,1255
224,splash,639
225,TV5MONDE,889
226,KTO_ci,1539
227,Canal J,1313
228,Africable,185
229,telecongo,773
230,mango-trademediadynamic,343
231,Top Santé TV,777
232,dorcel_tv,683
233,Euronews,1267
234,francetvsport,1399
235,A+ International Molotov,339
236,BFMTV,1089
237,mango-procidis,633
238,C8,355
239,France 2,147
240,Action,1499
241,i24news_ci,1269
242,mbc_masr,137
243,tfm,697
244,bblackcarribean_ci,643
245,France Ô,635
246,Novelas TV,873
247,Film Box,1045
248,Equidia,293
249,OCS-Go,685
250,passions_tv,433
251,Nautical Channel,251
252,roland-garros_live-sdr,1437
253,mbc3,597
254,Mango Séries,477
255,mbc5,1587
256,Fast&FunBox,1515
257,BFM Toulon Var,1369
258,Syfy,1055
259,TMC,993
260,mango-verite,123
261,Dreamworks,1403
262,mango-family,417
263,TF1 Séries Films,619
264,mango-banijay,759
265,Ciné+ Premier,1307
266,starzplay_arabia_ma,1453
267,J-One,623
268,mango-playtime,957
269,mango-the-shield,955
270,Fashion TV,771
271,alaraby2,1487
272,mango-eone,881
273,rmc_radio,1371
274,Playboy TV,225
275,Lucky Jack,661
276,cdirect,1217
277,nessma,401
278,testvideo1,1265
279,NRJ Hits,1549
280,mango-ace,1463
281,Gulli,1443
282,al_aoula_ma,883
283,mango-crome,1383
284,mbc_drama,723
285,francetv,115
286,France 24 Arabic,1365
287,TMC +1,1263
288,Nickelodeon Teen,1145
289,bone,247
290,rotana_drama_ci,1637
291,AdultSwim-linear,1501
292,rts1_ci,1627
293,mango-xilam,1583
294,Luxe TV,1521
295,Drive-in Movie Channel,321
296,sunuyeuf,1639
297,Mangas,243
298,Nolife,951
299,Boomerang,1461
300,Gong Max,193
301,tivi5monde_ci,303
302,Paramount Channel,233
303,CGTN_ci,1449
304,rotana_music_ci,409
305,filmotv,1351
306,mango-sportall,1629
307,plusdafrique,373
308,BFM Paris,1469
309,Paris Première,165
310,nflnetwork,195
311,rmc_avod,629
312,mango-grb,859
313,RTL 9,1569
314,TFX,1601
315,Nickelodéon,311
316,Test Ingest,1401
317,TF1 +1,1547
318,culturebox,1491
319,mango-itv,1603
320,bigard,721
321,okoo,383
322,E !,617
323,rotana_aflam,1113
324,Cartoon Network,1327
325,mango-ftv-distribution,309
326,wango,667
327,mango-women,275
328,,647
329,2stv,1415
330,Trace Africa,877
331,slash,111
332,Ciné+ Classic,435
333,France 3,1575
334,mango-ampersand,1381
335,tv5mondestyle_ci,719
336,mbc_masr2,1257
337,top_sante_tv_ci,655
338,6ter,163
339,mango-fastmedia,741
340,mango-vision-films,1373
341,Toute l'histoire,1413
342,LCP 100%,867
343,playvod_ma,1567
344,mango-kwanza,895
345,roland-garros_live-hdr,657
346,gullibilarabi,515
347,afronovelas_ci,1529
348,myzentv_international_ci,197
349,vincicup03,707
350,Arte,703
351,mango-event,687
352,btv,1173
353,tv-monaco,885
354,RMC Story,731
355,RTI 1,209
356,medici,187
357,France 24 Anglais,149
358,RMC Découverte,1561
359,BFM Dici Haute-Provence,1517
360,Chasse et pêche,1375
361,Ciné+ Frisson,1553
362,mango-bewitched,691
363,mango-monarch,1505
364,marmiton_tv_fr,1367
365,Nickelodéon +1,591
366,mango-botravail,659
367,Cartoonito,599
368,mango-freedolphin,207
369,Tech&Co,1027
370,warner-tv-next,747
371,sportall,1417
372,kto_ktotv,1509
373,BFM Alsace,377
374,la3_ci,1405
375,CNEWS,1359
376,MTV Hits (France),911
377,Boing,1329
378,TF1,565
379,Histoire TV,679
